# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalHeapBytesReclaimed,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.totalBytesRead,1771102817220000000,1771102877218000000,0
FilePageCache.maxCacheSizeInBytes,1771102817220000000,1771102877218000000,395313152
MappedFileStorage.totalBytesMapped,1771102817220000000,1771102877218000000,164626432
FilePageCacheLockFree.totalBytesRequested,1771102817220000000,1771102877218000000,0
DirectByteBufferAllocator.misses,1771102817220000000,1771102877218000000,0
FilePageCache.capacityInBytes,1771102817220000000,1771102877218000000,503316478
FilePageCacheLockFree.totalPageAllocationsWaited,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.nativeBytesInUse,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1771102817220000000,1771102877218000000,0
StreamlinedBlobStorage.recordsRelocated,1771102817220000000,1771102877218000000,0
StreamlinedBlobStorage.recordsDeleted,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1771102817220000000,1771102877218000000,0
StorageLockContext.competingThreads.avg,1771102817220000000,1771102877218000000,0.008547008547008548
MappedFileStorage.totalPagesMapped,1771102817220000000,1771102877218000000,6
DirectByteBufferAllocator.hits,1771102817220000000,1771102877218000000,0
StorageLockContext.competingThreads.max,1771102817220000000,1771102877218000000,1
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1771102817220000000,1771102877218000000,395313152
MappedFileStorage.totalTimeSpentOnMappingUs,1771102817220000000,1771102877218000000,812058
FileChannelInterruptsRetryer.totalRetriedAttempts,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.totalPagesReadMs,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.totalPagesWritten,1771102817220000000,1771102877218000000,0
FilePageCache.totalPageDisposalsUs,1771102817220000000,1771102877218000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1771102817220000000,1771102877218000000,430
FilePageCacheLockFree.totalClosedStoragesReclaimed,1771102817220000000,1771102877218000000,0
FilePageCacheLockFree.totalPagesAllocated,1771102817220000000,1771102877218000000,0
FilePageCache.pageFastCacheHits,1771102817220000000,1771102877218000000,0
DiskQueryRelay.tasksExecuted,1771102817220000000,1771102877218000000,20
writeAction.count,1771102817220000000,1771102877218000000,4
lexer.VTL.size.bytes,1771102817220000000,1771102877218000000,138
writeAction.median.wait.ms,1771102817220000000,1771102877218000000,0
